Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,text_validation,,text,Record ID,,,,,,,,,,,,,
val_date_dmy,text_validation,Validation,text,Date (D-M-Y),,,date_dmy,,,,,,,,,,
val_datetime_mdy,text_validation,,text,DateTime (M-D-Y H:M),,,datetime_mdy,,,,,,,,,,
val_datetime_seconds_ymd,text_validation,,text,DateTime with Seconds (Y-M-D H:M:S),,,datetime_seconds_ymd,,,,,,,,,,
val_email,text_validation,,text,Email,,,email,,,,,,,,,,
val_integer,text_validation,,text,Integer,,,integer,,,,,,,,,,
val_number,text_validation,,text,Numbers,,,number,,,,,,,,,,
val_number_1dp,text_validation,,text,Number (1 decimal place comma as decimal),,,number_1dp_comma_decimal,,,,,,,,,,
val_time,text_validation,,text,Time (HH:MM),,,time,,,,,,,,,,
ran_date_dmy,text_validation,Ranges,text,Date (D-M-Y) range,,,date_dmy,1/1/19,1/31/19,,,,,,,,
ran_datetime_mdy,text_validation,,text,DateTime (M-D-Y H:M) range,,,datetime_mdy,1/1/19 10:00,1/1/19 15:36,,,,,,,,
ran_datetime_seconds_ymd,text_validation,,text,DateTime with Seconds (Y-M-D H:M:S) range,,,datetime_seconds_ymd,1/1/19 9:00,1/1/19 9:15,,,,,,,,
ran_integer,text_validation,,text,Integer range,,,integer,0,10,,,,,,,,
ran_number,text_validation,,text,Number range,,,number,5.505,6.005,,,,,,,,
ran_number_1dp,text_validation,,text,Number (1 Decimal Place comma as decimal) range,,,number_1dp_comma_decimal,"1,0","20,0",,,,,,,,
ran_time,text_validation,,text,Time (HH:MM) range,,,time,6:00,8:00,,,,,,,,
data1,data_types,,text,Data type name,,,,,,,,,,,,,
data2,data_types,,text,Data type description,,,,,,,,,,,,,
