Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,text_validation,,text,Record ID,,,,,,,,,,,,,
ptname,text_validation,,text,Name,,,,,,,,,,,,,
email,text_validation,,text,Email,,,email,,,,,,,,,,
name,data_types,,text,Name,,,,,,,,,,,,,
bdate,data_types,,text,Text,,,date_mdy,,,,,,,,,,
instrument,data_types,,text,Text Box,,,,,,,,,,,,,
bandnotes,data_types,,notes,Notes Box,,,,,,,,,,,,,
multiple_dropdown_auto,data_types,,dropdown,Multiple Choice Dropdown Auto,"1, DDChoice1 | 2, DDChoice2 | 3, DDChoice3",,,,,,,,,,,,
multiple_dropdown_manual,data_types,,dropdown,Multiple Choice Dropdown Manual,"5, DDChoice5 | 7, DDChoice6 | 6, DDChoice7",,,,,,,,,,,,
multiple_radio_auto,data_types,,radio,Radio Button Auto,"1, Choice1 | 2, Choice2 | 3, Choice.3",,,,,,,,,,,,
radio_button_manual,data_types,,radio,Radio Button Manual,"9..9, Choice99 | 100, Choice100 | 101, Choice101",,,,,,,,,,,,
checkbox,data_types,,checkbox,Checkbox,"1, Checkbox1 | 2, Checkbox2 | 3, Checkbox3",,,,,,,,,,,,
signature,data_types,,file,Signature,,,signature,,,,,,,,,,
file_upload,data_types,,file,File Upload,,,,,,,,,,,,,
requirednumber,data_types,,text,Required,,,number,,,,,y,,,,,
ssn,data_types,,text,Identifier,,,ssn,,,y,,,,,,,
phone,data_types,,text,Identifier,,,phone,,,y,,,,,,,
integer,data_types,,text,Edit Field,,,integer,,,,,,,,,,
