"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,text_validation,,text,"Record ID",,,,,,,,,,,,,
email_v2,text_validation,,text,Email,,,email,,,,,,,,,,
first_name,text_validation,,text,"First Name",,,,,,,,,,,,,
last_name,text_validation,,text,"Last Name",,,,,,,,,,,,,
ptname,data_types,,text,Name,,,,,,,,,,,,,
text2,data_types,,text,Text2,,,,,,,,,,,,,
textbox,data_types,,text,"Text Box",,,,,,,,,,,,,
notesbox,data_types,,notes,"Notes Box",,,,,,,,,,,,,
calculated_field,data_types,,calc,"Caculated Field",3*2,,,,,,,,,,,,
multiple_dropdown_auto,data_types,,dropdown,"Multiple Choice Dropdown Auto","1, DDChoice1|2, DDChoice2|3, DDChoice3",,,,,,,,,,,,
multiple_dropdown_manual,data_types,,dropdown,"Multiple Choice Dropdown Manual","5, DDChoice5|7, DDChoice6|6, DDChoice7",,,,,,,,,,,,
radio_button_auto,data_types,,radio,"Radio Button Auto","1, Choice1|2, Choice2|3, Choice.3",,,,,,,,,,,,
radio_button_manual,data_types,,radio,"Radio Button Manual","99, Choice99 | 100, Choice100 | 101, Choice101",,,,,,,,,,,,
checkbox,data_types,,checkbox,Checkbox,"1, Checkbox|2, Checkbox2|3, Checkbox3",,,,,,,,,,,,
signature,data_types,,file,Signature,,,signature,,,,,,,,,,
file_upload,data_types,,file,"File Upload",,,,,,,,,,,,,
descriptive_file_text,data_types,"Section Break",descriptive,"Descriptive Text with File",,,,,,,,,,,,,
required,data_types,,text,Required,,,,,,,,y,,,,,
identifier,data_types,,text,Identifier,,,,,,y,,,,,,,
identifier_2,data_types,,text,Identifier,,,,,,y,,,,,,,
edit_field,data_types,,text,"Edit Field",,,,,,,,,,,,,
descriptive_text,data_types,"Section Break",descriptive,"Descriptive Text",,,,,,,,,,,,,
