"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,my_first_instrument,,text,"Record ID",,,,,,,,,,,,,
h_i,my_first_instrument,"New Section",text,"Renamed Field",,,,,,y,,,,,,,
newest_field,my_first_instrument,,text,"Newest Field",,,,,,,,,,,,,
h_i_2,my_first_instrument,,text,"Renamed Field",,,,,,,,,,,,,
new_text_box,my_first_instrument,,text,"New Text Box",,,,,,,,,,,,,
new_note_box,my_first_instrument,,notes,"New Note Box",,,,,,,,,,,,,
new_calc_field,my_first_instrument,,text,"New Calc Field",,,,,,,,,,,,,
new_drop_down,my_first_instrument,,dropdown,"New Drop Down","1, NEW LABEL 1 | 2, NEW LABEL 2 | 3, NEW LABEL 3",,,,,,,,,,,,
new_radio,my_first_instrument,,radio,"New Radio","1, NEW LABEL 1 | 2, NEW LABEL 2 | 3, NEW LABEL 3",,,,,,,,,,,,
new_check_box,my_first_instrument,,checkbox,"New Check Box","1, NEW LABEL 1 | 2, NEW LABEL 2 | 3, NEW LABEL 3",,,,,,,,,,,,
new_sign,my_first_instrument,,file,"New Sign",,,signature,,,,,,,,,,
new_file_upload,my_first_instrument,,file,"New File Upload",,,,,,,,,,,,,
new_desc_text,my_first_instrument,"New Section",descriptive,"New Desc Text",,,,,,,,,,,,,
