"Time / Date",Username,Action,"List of Data Changes OR Fields Exported"
"2023-01-24 21:33",test_user2,"Manage/Design ","Approve production project modifications (automatic)"
"2023-01-24 21:33",test_user2,"Manage/Design ","Create data collection instrument"
"2023-01-24 21:33",test_user2,"Manage/Design ","Create project field"
"2023-01-24 21:33",test_user2,"Manage/Design ","Enter draft mode"
"2023-01-24 21:33",test_user2,"Updated Record 1",
"2023-01-24 21:33",test_user2,"E-signature 1","Action: Negate e-signature Record: 1 Form: Text Validation"
"2023-01-24 21:33",test_user2,"Lock/Unlock Record 1","Action: Unlock instrument Record: 1 Form: Text Validation"
"2023-01-24 21:33",test_user2,"Updated Record 1",
"2023-01-24 21:33",test_user2,"E-signature 1","Action: Save e-signature Record: 1 Form: Text Validation"
"2023-01-24 21:33",test_user2,"Updated Record 1",
"2023-01-24 21:33",test_user2,"Lock/Unlock Record 1","Action: Lock instrument Record: 1 Form: Text Validation"
"2023-01-24 21:33",test_user2,"Updated User test_user","user = 'test_user'"
"2023-01-24 21:32",test_user2,"Data Export ","Download exported data file (CSV raw)"
"2023-01-24 21:32",test_user2,"Data Export ","report_id: ALL, export_format: CSV, rawOrLabel: raw, fields: ""record_id, ptname, email, text_validation_complete"""
"2023-01-24 21:32",test_user,"Created User test_user2","user = 'test_user2'"
"2023-01-24 21:32",test_user,"Deleted User test_user2","user = 'test_user2'"
"2023-01-24 21:32",test_user,"Deleted Role ","role = 'Data'"
"2023-01-24 21:32",test_user,"Edited Role ","role = 'Data'"
"2023-01-24 21:32",test_user,"Created Role ","role = 'Data'"
"2023-01-24 21:32",test_user,"Deleted Record 3","record_id = '3'"
"2023-01-24 21:32",test_user,"Created Record 3","ptname = 'Delete', email = 'delete@test.com', text_validation_complete = '0', record_id = '3'"
"2023-01-24 21:32",test_user,"Created Record 2","ptname = 'Test2', email = 'test2@test.com', text_validation_complete = '0', record_id = '2'"
"2023-01-24 21:32",test_user,"Updated Record 1","ptname = 'Testing'"
"2023-01-24 21:32",test_user,"Created Record 1","ptname = 'Test', email = 'test@test.com', text_validation_complete = '0', record_id = '1'"
"2023-01-24 21:32",test_admin,"Manage/Design ","Move project to Production status"
"2023-01-24 21:32",test_admin,"Manage/Design ","Customize record locking"
"2023-01-24 21:32",test_admin,"Created User test_user2","user = 'test_user2'"
"2023-01-24 21:32",test_admin,"Created User test_user","user = 'test_user'"
"2023-01-24 21:32",test_admin,"Updated User test_admin","user = 'test_admin'"
"2023-01-24 21:32",test_admin,"Manage/Design ","Create project using REDCap XML file"
